id;codigo;fecha_reserva;estado
1;RES-001;2026-09-15T10:30:00;Confirmada
2;RES-002;2026-09-15T11:00:00;Confirmada
3;RES-003;2026-09-16T08:15:00;Pendiente
4;RES-004;2026-09-16T09:45:00;Confirmada
5;RES-005;2026-09-16T14:20:00;Cancelada
6;RES-006;2026-09-17T07:30:00;Confirmada
7;RES-007;2026-09-17T10:00:00;Pendiente
8;RES-008;2026-09-17T13:45:00;Confirmada
9;RES-009;2026-09-18T09:00:00;Confirmada
10;RES-010;2026-09-18T11:30:00;Cancelada
11;RES-011;2026-09-18T15:00:00;Confirmada
12;RES-012;2026-09-19T08:00:00;Pendiente
13;RES-013;2026-09-19T10:30:00;Confirmada
14;RES-014;2026-09-19T13:00:00;Confirmada
15;RES-015;2026-09-20T07:15:00;Cancelada
16;RES-016;2026-09-20T09:45:00;Confirmada
17;RES-017;2026-09-20T12:30:00;Pendiente
18;RES-018;2026-09-21T08:00:00;Confirmada
19;RES-019;2026-09-21T10:15:00;Confirmada
20;RES-020;2026-09-21T14:00:00;Confirmada
21;RES-021;2026-09-21T16:30:00;Cancelada
22;RES-022;2026-09-22T07:00:00;Pendiente
23;RES-023;2026-09-22T09:30:00;Confirmada
24;RES-024;2026-09-22T11:00:00;Confirmada
25;RES-025;2026-09-22T13:45:00;Confirmada
26;RES-026;2026-09-22T15:00:00;Pendiente
27;RES-027;2026-09-22T16:30:00;Confirmada
28;RES-028;2026-09-22T17:00:00;Confirmada
29;RES-029;2026-09-22T18:15:00;Cancelada
30;RES-030;2026-09-22T19:00:00;Confirmada
