id;numero_vuelo;origen;destino;fecha_salida;fecha_llegada
1;AV101;Bogota;Medellin;2026-10-01T06:00:00;2026-10-01T07:05:00
2;AV102;Medellin;Bogota;2026-10-01T08:30:00;2026-10-01T09:35:00
3;AV201;Bogota;Cali;2026-10-01T07:00:00;2026-10-01T08:10:00
4;AV202;Cali;Bogota;2026-10-01T10:00:00;2026-10-01T11:10:00
5;AV301;Bogota;Barranquilla;2026-10-01T09:00:00;2026-10-01T10:30:00
6;AV302;Barranquilla;Bogota;2026-10-01T12:00:00;2026-10-01T13:30:00
7;AV401;Bogota;Cartagena;2026-10-02T06:30:00;2026-10-02T08:00:00
8;AV402;Cartagena;Bogota;2026-10-02T09:00:00;2026-10-02T10:30:00
9;AV501;Bogota;Pereira;2026-10-02T07:00:00;2026-10-02T07:55:00
10;AV502;Pereira;Bogota;2026-10-02T10:00:00;2026-10-02T10:55:00
11;AV601;Medellin;Cali;2026-10-03T08:00:00;2026-10-03T09:00:00
12;AV602;Cali;Medellin;2026-10-03T11:00:00;2026-10-03T12:00:00
13;AV701;Bogota;Bucaramanga;2026-10-03T06:00:00;2026-10-03T07:10:00
14;AV702;Bucaramanga;Bogota;2026-10-03T09:00:00;2026-10-03T10:10:00
15;AV801;Bogota;Cucuta;2026-10-04T07:30:00;2026-10-04T09:00:00
16;AV802;Cucuta;Bogota;2026-10-04T11:00:00;2026-10-04T12:30:00
17;AV901;Bogota;Manizales;2026-10-04T06:00:00;2026-10-04T07:00:00
18;AV902;Manizales;Bogota;2026-10-04T09:30:00;2026-10-04T10:30:00
19;AV1001;Medellin;Cartagena;2026-10-05T07:00:00;2026-10-05T08:30:00
20;AV1002;Cartagena;Medellin;2026-10-05T10:00:00;2026-10-05T11:30:00
21;LA101;Bogota;Lima;2026-10-05T08:00:00;2026-10-05T10:30:00
22;LA102;Lima;Bogota;2026-10-05T14:00:00;2026-10-05T16:30:00
23;LA201;Bogota;Ciudad de Mexico;2026-10-06T07:00:00;2026-10-06T10:00:00
24;LA202;Ciudad de Mexico;Bogota;2026-10-06T13:00:00;2026-10-06T16:00:00
25;LA301;Bogota;Miami;2026-10-07T06:00:00;2026-10-07T11:30:00
26;LA302;Miami;Bogota;2026-10-07T14:00:00;2026-10-07T19:30:00
27;LA401;Bogota;Madrid;2026-10-08T23:00:00;2026-10-09T15:00:00
28;LA402;Madrid;Bogota;2026-10-09T18:00:00;2026-10-10T00:00:00
29;AV1101;Cali;Cartagena;2026-10-09T07:00:00;2026-10-09T08:45:00
30;AV1102;Cartagena;Cali;2026-10-09T11:00:00;2026-10-09T12:45:00
